N,Key,Bemerkung_Maria,Autor,Jahr,Titel,Zeitschrift,DOI,ID_Studie,Screener,Extracter,Lebensraum,Lebensraum_Details,Biotoptyp,Land,Bundesland,Ort,X,Y,geographische_Genauigkeit_km,Antwortvariable,x_Achse,Hauptgruppe_RoteListen,Untergruppe_RoteListen,Untergruppe_RoteListen_Detail,Anzahl_Arten_Gruppen,Startjahr,Endjahr,Dauer,Anzahl_Jahre,ExperimentObservation,Trend,Massnahme_Schutz,Massnahme_Schutz_andere,Massnahme_Management,Massnahme_Impuls,Notizen,LiteraturRawdata,Studie_in_D,ID,StationID,Antwortvariable_ORIG
349,Fischer2015,NA,"Fischer, A. et al.",2015,Small changes in species composition despite stand-replacing bark beetle outbreak in Picea abies mountain forests,Canadian Journal of Forest Research. 45 (9):1164-1171,10.1139/cjfr-2014-0474,NA,Konrad Adler,Konrad Adler,Wald,Fichtenwälder,Nadel(Misch)Wälder und -Forste,Deutschland,Bayern,alter (südlicher) und neuer (nordwestlicher) Teil des Nationalparks Bayerischer Wald,13.37945359,48.96738942,10,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,1,1998,2010,13,2,Beobachtung,positive,Nationalpark_Bayerischer Wald,NA,NA,NA,"Notiz aus Fließtext: For the whole forest complex, the species richness does not change: all of the species that emerged after the disturbance event were present in the area before the disturbance, but with lower frequency and (or) cover.",Literatur,D,NA,NA,NA
350,Fischer2015B,NA,"Fischer, A. et al.",2015,Small changes in species composition despite stand-replacing bark beetle outbreak in Picea abies mountain forests,Canadian Journal of Forest Research. 45 (9):1164-1171,10.1139/cjfr-2014-0474,NA,Konrad Adler,Konrad Adler,Wald,Fichtenwälder,Nadel(Misch)Wälder und -Forste,Deutschland,Bayern,alter (südlicher) und neuer (nordwestlicher) Teil des Nationalparks Bayerischer Wald,13.37945359,48.96738942,10,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,1,1998,2010,13,2,Beobachtung,positive,Nationalpark_Bayerischer Wald,NA,NA,NA,"Notiz aus Fließtext: For the whole forest complex, the species richness does not change: all of the species that emerged after the disturbance event were present in the area before the disturbance, but with lower frequency and (or) cover.",Literatur,D,NA,NA,NA
351,Fischer2015B,NA,"Fischer, A. et al.",2015,Small changes in species composition despite stand-replacing bark beetle outbreak in Picea abies mountain forests,Canadian Journal of Forest Research. 45 (9):1164-1171,10.1139/cjfr-2014-0474,NA,Konrad Adler,Konrad Adler,Wald,Fichtenwälder,Nadel(Misch)Wälder und -Forste,Deutschland,Bayern,alter (südlicher) und neuer (nordwestlicher) Teil des Nationalparks Bayerischer Wald,13.37945359,48.96738942,10,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,1,1998,2010,13,2,Beobachtung,positive,Nationalpark_Bayerischer Wald,NA,NA,NA,"Notiz aus Fließtext: For the whole forest complex, the species richness does not change: all of the species that emerged after the disturbance event were present in the area before the disturbance, but with lower frequency and (or) cover.",Literatur,D,NA,NA,NA
548,Baumann2020,NA,"Baumann, M. et al.",2021,Temporal changes in the ground vegetation in spruce forests in the Erzgebirge (Ore Mountains) - bryophytes are better indicators of the impact of liming and of sulphur and nitrogen deposition than the herb layer,Appl Veg Sci. 24:e12598.,10.1111/avsc.12598,NA,Konrad Adler,Konrad Adler,Wald,Fichtenwälder (Calamagrostio villosae-Piceetum) mit verschiedener Kalkdüngungshistorie,Nadel(Misch)Wälder und -Forste,Deutschland,Sachsen,"Waldbestände in den NSGs ""Großer Kranichsee"" & ""Dreibächel"" und in deren Umgebung, westlicher Teil des Erzgebirges zwischen den Städten Carlsfeld und Morgenröthe-Rautenkranz",12.54810968,50.4306975,5,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1990,2013,24,2,Beobachtung,no,Andere,"teilweise: NSG ""Großer Kranichsee"" und NSG ""Dreibächel",Kalkdüngung,NA,"Angabe zum Boden: The bedrock consists of tourmaline granite, which is characterized by very low nutrient reserves and leads to the formation of podzols or brown podzols.",Literatur,D,NA,NA,NA
549,Baumann2020,NA,"Baumann, M. et al.",2021,Temporal changes in the ground vegetation in spruce forests in the Erzgebirge (Ore Mountains) - bryophytes are better indicators of the impact of liming and of sulphur and nitrogen deposition than the herb layer,Appl Veg Sci. 24:e12598.,10.1111/avsc.12598,NA,Konrad Adler,Konrad Adler,Wald,Fichtenwälder (Calamagrostio villosae-Piceetum) mit verschiedener Kalkdüngungshistorie,Nadel(Misch)Wälder und -Forste,Deutschland,Sachsen,"Waldbestände in den NSGs ""Großer Kranichsee"" & ""Dreibächel"" und in deren Umgebung, westlicher Teil des Erzgebirges zwischen den Städten Carlsfeld und Morgenröthe-Rautenkranz",12.54810968,50.4306975,5,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1990,2013,24,2,Beobachtung,positive,Andere,"teilweise: NSG ""Großer Kranichsee"" und NSG ""Dreibächel",Kalkdüngung,NA,"Angabe zum Boden: The bedrock consists of tourmaline granite, which is characterized by very low nutrient reserves and leads to the formation of podzols or brown podzols.",Literatur,D,NA,NA,NA
550,Baumann2020,NA,"Baumann, M. et al.",2021,Temporal changes in the ground vegetation in spruce forests in the Erzgebirge (Ore Mountains) - bryophytes are better indicators of the impact of liming and of sulphur and nitrogen deposition than the herb layer,Appl Veg Sci. 24:e12598.,10.1111/avsc.12598,NA,Konrad Adler,Konrad Adler,Wald,Fichtenwälder (Calamagrostio villosae-Piceetum) mit verschiedener Kalkdüngungshistorie,Nadel(Misch)Wälder und -Forste,Deutschland,Sachsen,"Waldbestände in den NSGs ""Großer Kranichsee"" & ""Dreibächel"" und in deren Umgebung, westlicher Teil des Erzgebirges zwischen den Städten Carlsfeld und Morgenröthe-Rautenkranz",12.54810968,50.4306975,5,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1990,2013,24,2,Beobachtung,negative,Andere,"teilweise: NSG ""Großer Kranichsee"" und NSG ""Dreibächel",Kalkdüngung,NA,"Angabe zum Boden: The bedrock consists of tourmaline granite, which is characterized by very low nutrient reserves and leads to the formation of podzols or brown podzols.",Literatur,D,NA,NA,NA
551,Baumann2020,NA,"Baumann, M. et al.",2021,Temporal changes in the ground vegetation in spruce forests in the Erzgebirge (Ore Mountains) - bryophytes are better indicators of the impact of liming and of sulphur and nitrogen deposition than the herb layer,Appl Veg Sci. 24:e12598.,10.1111/avsc.12598,NA,Konrad Adler,Konrad Adler,Wald,Fichtenwälder (Calamagrostio villosae-Piceetum) mit verschiedener Kalkdüngungshistorie,Nadel(Misch)Wälder und -Forste,Deutschland,Sachsen,"Waldbestände in den NSGs ""Großer Kranichsee"" & ""Dreibächel"" und in deren Umgebung, westlicher Teil des Erzgebirges zwischen den Städten Carlsfeld und Morgenröthe-Rautenkranz",12.54810968,50.4306975,5,Abundanz,Zeit,Pflanzen,Moose,Moose,NA,1990,2013,24,2,Beobachtung,positive,Andere,"teilweise: NSG ""Großer Kranichsee"" und NSG ""Dreibächel",Kalkdüngung,NA,"Angabe zum Boden: The bedrock consists of tourmaline granite, which is characterized by very low nutrient reserves and leads to the formation of podzols or brown podzols.",Literatur,D,NA,NA,NA
552,Baumann2020,NA,"Baumann, M. et al.",2021,Temporal changes in the ground vegetation in spruce forests in the Erzgebirge (Ore Mountains) - bryophytes are better indicators of the impact of liming and of sulphur and nitrogen deposition than the herb layer,Appl Veg Sci. 24:e12598.,10.1111/avsc.12598,NA,Konrad Adler,Konrad Adler,Wald,Fichtenwälder (Calamagrostio villosae-Piceetum) mit verschiedener Kalkdüngungshistorie,Nadel(Misch)Wälder und -Forste,Deutschland,Sachsen,"Waldbestände in den NSGs ""Großer Kranichsee"" & ""Dreibächel"" und in deren Umgebung, westlicher Teil des Erzgebirges zwischen den Städten Carlsfeld und Morgenröthe-Rautenkranz",12.54810968,50.4306975,5,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1990,2013,24,2,Beobachtung,no,Andere,"teilweise: NSG ""Großer Kranichsee"" und NSG ""Dreibächel",Kalkdüngung,NA,"Angabe zum Boden: The bedrock consists of tourmaline granite, which is characterized by very low nutrient reserves and leads to the formation of podzols or brown podzols.",Literatur,D,NA,NA,NA
553,Baumann2020,NA,"Baumann, M. et al.",2021,Temporal changes in the ground vegetation in spruce forests in the Erzgebirge (Ore Mountains) - bryophytes are better indicators of the impact of liming and of sulphur and nitrogen deposition than the herb layer,Appl Veg Sci. 24:e12598.,10.1111/avsc.12598,NA,Konrad Adler,Konrad Adler,Wald,Fichtenwälder (Calamagrostio villosae-Piceetum) mit verschiedener Kalkdüngungshistorie,Nadel(Misch)Wälder und -Forste,Deutschland,Sachsen,"Waldbestände in den NSGs ""Großer Kranichsee"" & ""Dreibächel"" und in deren Umgebung, westlicher Teil des Erzgebirges zwischen den Städten Carlsfeld und Morgenröthe-Rautenkranz",12.54810968,50.4306975,5,Artenzahl,Zeit,Pflanzen,Moose,Moose,NA,1990,2013,24,2,Beobachtung,positive,Andere,"teilweise: NSG ""Großer Kranichsee"" und NSG ""Dreibächel",Kalkdüngung,NA,"Angabe zum Boden: The bedrock consists of tourmaline granite, which is characterized by very low nutrient reserves and leads to the formation of podzols or brown podzols.",Literatur,D,NA,NA,NA
572,#NV,NA,"Fischer, C. et al.",2016,The development of forests in Lower Saxony during the last 25 years - results after three national forest inventories,"Allg. Forst- u. J.-Ztg., 187. Jg., 1/2",nicht vorhanden,NA,Konrad Adler,Konrad Adler,Wald,verschiedene Waldtypen,"Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent), Nadel(Misch)Wälder und -Forste",Deutschland,Niedersachsen,NA,9.162965134,52.76556373,150,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,7,1987,2012,26,3,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
561,Schneider2021,NA,"Schneider, A. et al.",2021,The list of forest affinities for animals in Central Europe - A valuable resource for ecological analysis and monitoring in forest animal communities?,Forest Ecology and Management 479: 118542,10.1016/j.foreco.2020.118542,NA,Konrad Adler,Konrad Adler,Wald,Buchen-Eichenwald,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Lüneburger Heide,9.833333333,53.1,NA,Artenzahl,Zeit,Wirbellose,Arthropoden,Arthropoden,NA,1995,2002,8,8,Beobachtung,no,Andere,NSG Lüneburger Heide,NA,NA,NA,Literatur,D,NA,NA,NA
525,Reczyńska2015,NA,"Reczyńska, K. et al.",2015,The spread of Impatiens parviflora DC. in Central European oak forests - another stage of invasion?,Acta Soc Bot Pol 84(4):401–411,10.5586/asbp.2015.039,NA,Konrad Adler,Konrad Adler,Wald,Mitteleuropäische Eichenwälder,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,NA,NA,10.279,51.415,700,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,1,1976,1996,21,22,Beobachtung,positive,NA,NA,NA,NA,"der ausgewählte Treiber ist hier die untersuchte, invasive Art",Literatur,D,NA,NA,NA
203,Schmidt2015,NA,Schmidt,2015,Umwelt- und Nutzungswandel im Kalkbuchenwald (Hordelymo-Fagetum lathyrestosum)- Ein Vergleich alter und neuer Vegetationsaufnahmen aus dem Göttinger Wald,Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,NA,NA,Deutschland,Niedersachsen,Göttingen,9.908415007,51.53834411,10,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1955,2012,58,2,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
204,Schmidt2015,NA,Schmidt,2015,Umwelt- und Nutzungswandel im Kalkbuchenwald (Hordelymo-Fagetum lathyrestosum)- Ein Vergleich alter und neuer Vegetationsaufnahmen aus dem Göttinger Wald,Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,NA,NA,Deutschland,Niedersachsen,Göttingen,9.908415007,51.53834411,10,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1955,2012,58,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
205,Schmidt2015,NA,Schmidt,2015,Umwelt- und Nutzungswandel im Kalkbuchenwald (Hordelymo-Fagetum lathyrestosum)- Ein Vergleich alter und neuer Vegetationsaufnahmen aus dem Göttinger Wald,Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,NA,NA,Deutschland,Niedersachsen,Göttingen,9.908415007,51.53834411,10,ENS,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1955,2012,58,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
206,Schmidt2015,NA,Schmidt,2015,Umwelt- und Nutzungswandel im Kalkbuchenwald (Hordelymo-Fagetum lathyrestosum)- Ein Vergleich alter und neuer Vegetationsaufnahmen aus dem Göttinger Wald,Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,NA,NA,Deutschland,Niedersachsen,Göttingen,9.908415007,51.53834411,10,ENS,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1955,2012,58,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
10581,#NV,NA,"Grimmberger E., Bork H.",1979,"Untersuchungen zur Biologie, Ökologie und Populationsdynamik der Zwergfledermaus, PipistreUus p. pipistreUus (Schreber 1774), in einer großen Population im Norden der DDR","Nyctalus (N.F.), Band 1 (1979), Heft 2, S. 122-136",NA,NA,Maria Sporbert,Anneka,Wald,NA,Bauwerke,Deutschland,Mecklenburg-Vorpommern,Demmin,13.03887291,53.94710957,NA,Abundanz,NA,Wirbeltiere,Saeuger,Säugetiere,1,1972,1974,3,3,Beobachtung,no,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
303,Günther2021,NA,"Günther, K. et al.",2021,Vegetation change in the forests between the Elbe and Havel rivers (NE Germany) from 1960 to 2015,Tuexenia 41: 53–85,10.14471/2021.41.005,NA,Konrad Adler,Konrad Adler,Wald,Wirtschaftswälder,NA,Deutschland,"Brandenburg, Sachsen-Anhalt",Abschnitt des Elbtals zwischen dem Durchbruch der Elbe durch den Südlichen Landrücken (Fläming) und dem Unterlauf der Havel,12.108,52.557,20,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1956,2015,60,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
304,Günther2021,NA,"Günther, K. et al.",2021,Vegetation change in the forests between the Elbe and Havel rivers (NE Germany) from 1960 to 2015,Tuexenia 41: 53–85,10.14471/2021.41.005,NA,Konrad Adler,Konrad Adler,Wald,Wirtschaftswälder,NA,Deutschland,"Brandenburg, Sachsen-Anhalt",Abschnitt des Elbtals zwischen dem Durchbruch der Elbe durch den Südlichen Landrücken (Fläming) und dem Unterlauf der Havel,12.108,52.557,20,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1956,2015,60,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
305,Günther2021,NA,"Günther, K. et al.",2021,Vegetation change in the forests between the Elbe and Havel rivers (NE Germany) from 1960 to 2015,Tuexenia 41: 53–85,10.14471/2021.41.005,NA,Konrad Adler,Konrad Adler,Wald,Wirtschaftswälder,NA,Deutschland,"Brandenburg, Sachsen-Anhalt",Abschnitt des Elbtals zwischen dem Durchbruch der Elbe durch den Südlichen Landrücken (Fläming) und dem Unterlauf der Havel,12.108,52.557,20,Abundanz,Zeit,Pilze_Flechten,Flechten,Flechten,NA,1956,2015,60,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
306,Günther2021,NA,"Günther, K. et al.",2021,Vegetation change in the forests between the Elbe and Havel rivers (NE Germany) from 1960 to 2015,Tuexenia 41: 53–85,10.14471/2021.41.005,NA,Konrad Adler,Konrad Adler,Wald,Wirtschaftswälder,NA,Deutschland,"Brandenburg, Sachsen-Anhalt",Abschnitt des Elbtals zwischen dem Durchbruch der Elbe durch den Südlichen Landrücken (Fläming) und dem Unterlauf der Havel,12.108,52.557,20,Artenzahl,Zeit,Pilze_Flechten,Flechten,Flechten,NA,1956,2015,60,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
307,Günther2021,NA,"Günther, K. et al.",2021,Vegetation change in the forests between the Elbe and Havel rivers (NE Germany) from 1960 to 2015,Tuexenia 41: 53–85,10.14471/2021.41.005,NA,Konrad Adler,Konrad Adler,Wald,Wirtschaftswälder,NA,Deutschland,"Brandenburg, Sachsen-Anhalt",Abschnitt des Elbtals zwischen dem Durchbruch der Elbe durch den Südlichen Landrücken (Fläming) und dem Unterlauf der Havel,12.108,52.557,20,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1956,2015,60,2,Beobachtung,no,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
308,Günther2021,NA,"Günther, K. et al.",2021,Vegetation change in the forests between the Elbe and Havel rivers (NE Germany) from 1960 to 2015,Tuexenia 41: 53–85,10.14471/2021.41.005,NA,Konrad Adler,Konrad Adler,Wald,Wirtschaftswälder,NA,Deutschland,"Brandenburg, Sachsen-Anhalt",Abschnitt des Elbtals zwischen dem Durchbruch der Elbe durch den Südlichen Landrücken (Fläming) und dem Unterlauf der Havel,12.108,52.557,20,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1956,2015,60,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
309,Günther2021,NA,"Günther, K. et al.",2021,Vegetation change in the forests between the Elbe and Havel rivers (NE Germany) from 1960 to 2015,Tuexenia 41: 53–85,10.14471/2021.41.005,NA,Konrad Adler,Konrad Adler,Wald,Wirtschaftswälder,NA,Deutschland,"Brandenburg, Sachsen-Anhalt",Abschnitt des Elbtals zwischen dem Durchbruch der Elbe durch den Südlichen Landrücken (Fläming) und dem Unterlauf der Havel,12.108,52.557,20,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1956,2015,60,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
310,Günther2021,NA,"Günther, K. et al.",2021,Vegetation change in the forests between the Elbe and Havel rivers (NE Germany) from 1960 to 2015,Tuexenia 41: 53–85,10.14471/2021.41.005,NA,Konrad Adler,Konrad Adler,Wald,Wirtschaftswälder,NA,Deutschland,"Brandenburg, Sachsen-Anhalt",Abschnitt des Elbtals zwischen dem Durchbruch der Elbe durch den Südlichen Landrücken (Fläming) und dem Unterlauf der Havel,12.108,52.557,20,Artenzahl,Zeit,Pflanzen,Moose,Moose,NA,1956,2015,60,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
311,Günther2021,NA,"Günther, K. et al.",2021,Vegetation change in the forests between the Elbe and Havel rivers (NE Germany) from 1960 to 2015,Tuexenia 41: 53–85,10.14471/2021.41.005,NA,Konrad Adler,Konrad Adler,Wald,Wirtschaftswälder,NA,Deutschland,"Brandenburg, Sachsen-Anhalt",Abschnitt des Elbtals zwischen dem Durchbruch der Elbe durch den Südlichen Landrücken (Fläming) und dem Unterlauf der Havel,12.108,52.557,20,Artenzahl,Zeit,Pilze_Flechten,Flechten,Flechten,NA,1956,2015,60,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
222,Fischer2009,NA,Fischer,2009,Vegetationsdynamik in Buchen-Naturwäldern. Ein Vergleich aus Süd-Niedersachsen.,Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,"Naturwald ""Totenberg""",NA,Deutschland,Niedersachsen,Bramwald,9.64867787,51.49790115,5,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1994,2007,14,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
223,Fischer2009,NA,Fischer,2009,Vegetationsdynamik in Buchen-Naturwäldern. Ein Vergleich aus Süd-Niedersachsen.,Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,"Naturwald ""Totenberg""",NA,Deutschland,Niedersachsen,Bramwald,9.64867787,51.49790115,5,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1994,2007,14,2,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
224,Fischer2009,NA,Fischer,2009,Vegetationsdynamik in Buchen-Naturwäldern. Ein Vergleich aus Süd-Niedersachsen.,Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,"Naturwald ""Totenberg""",NA,Deutschland,Niedersachsen,Bramwald,9.64867787,51.49790115,5,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1994,2007,14,2,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
225,Fischer2009,NA,Fischer,2009,Vegetationsdynamik in Buchen-Naturwäldern. Ein Vergleich aus Süd-Niedersachsen.,Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,"Naturwald ""Totenberg""",NA,Deutschland,Niedersachsen,Bramwald,9.64867787,51.49790115,5,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1994,2007,14,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
245,Ahrns1998,NA,Ahrns,1998,"Vegetationsdynamik und Florenwandel im ehemaligen mitteldeutschen Waldschutzgebiet ""Hainich"" im Interv~ll1963 - 1995",Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,NA,NA,Deutschland,Thüringen,"NSG ""Hainich""",10.38193807,51.09777266,10,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1963,1995,33,2,Beobachtung,positive,Andere,NSG Hainich,NA,NA,NA,Literatur,D,NA,NA,NA
246,Ahrns1998,NA,Ahrns,1998,"Vegetationsdynamik und Florenwandel im ehemaligen mitteldeutschen Waldschutzgebiet ""Hainich"" im Interv~ll1963 - 1996",Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,NA,NA,Deutschland,Thüringen,"NSG ""Hainich""",10.38193807,51.09777266,10,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1963,1995,33,2,Beobachtung,positive,Andere,NSG Hainich,NA,NA,NA,Literatur,D,NA,NA,NA
247,Ahrns1998,NA,Ahrns,1998,"Vegetationsdynamik und Florenwandel im ehemaligen mitteldeutschen Waldschutzgebiet ""Hainich"" im Interv~ll1963 - 1997",Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,NA,NA,Deutschland,Thüringen,"NSG ""Hainich""",10.38193807,51.09777266,10,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1963,1995,33,2,Beobachtung,negative,Andere,NSG Hainich,NA,NA,NA,Literatur,D,NA,NA,NA
181,Janiesch2003,NA,"Janiesch, P.",2003,Vegetationsökologische Untersuchungen in einem Erlenbruchwald im nördlichen Münsterland - 25 Jahre im Vergleich,Abhandlungen aus dem Westfälischen Museum für Naturkunde,https://www.lwl.org/wmfn-download/Abhandlungen/Abh_65%281+2%292003.pdf,NA,Maria Sporbert,Maria Sporbert,Wald,"Erlenbruchwald in Agrarlandschaft, früher Niedermoorböden",NA,Deutschland,Nordrhein-Westfalen,nördliches Münsterland,7.710806119,52.24581907,20,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,21,1977,2002,26,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
117,Brunzel2011,NA,Brunzel,2011,Veränderungen von Tagfaltergemeinschaften: Einfluss klimatischer Faktoren auf Artenhäufigkeiten im westlichen Weserbergland und im Märkischen Sauerland,Naturschutz und Landschaftsplanung,NA,NA,Maria Sporbert,Maria Sporbert,Wald,"Pionierrasen in Steinbrüchen, magere Weiden, Feuchtwiesen, Niedermoore, Laubwälder, Heiden Übergangsmoore",NA,Deutschland,Nordrhein-Westfalen,"Westliches Weserbergland, Märkisches Sauerland",8.655807199,51.67761426,100,Abundanz,Zeit,Wirbellose,Arthropoden,Arthropoden,NA,2000,2010,11,11,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
10639,Haensel1999,NA,Haensel J. & Tismer R.,1999,"Versuchsrevier für Fledermauskästen im Forst Berlin-Schmöckwitz - erste Ergebnisse, insbesondere zu den überwiegend vertretenen Rauhhautfledermäusen (Pipistrellus nathusii)*","Nyctalus (N.F.), Band 7(1999), Heft 1, S. 60-77",NA,NA,NA,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Berlin,Berlin-Schmöckwitz,13.63319592,52.38098024,NA,Abundanz,Jahr,Wirbeltiere,Saeuger,NA,2,1975,1996,22,21,Beobachtung,negative to positive,NA,NSG Krumme Lake,NA,NA,NA,Literatur,NA,NA,NA,NA
257,Steinmetzger1980,NA,Steinmetzger,1980,Verteilungsmuster und Phänologie von Stapbylinidae (Coleoptera-lnsecta) in einem Transekt unterschiedlich immissionsbelasteter Kiefernforste der Dübener Heide,Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,Kiefernforst,NA,Deutschland,Sachsen-Anhalt,Dübener Heide,12.62159851,51.69446766,20,Abundanz,Zeit,Wirbellose,Arthropoden,Arthropoden,NA,1976,1978,3,3,Beobachtung,no,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
10613,Hübner2006,NA,"Hübner, G. et al.",2006,Winterverbreitung und Quartiernutzungsmuster der Mopsfledermaus (Barbastella barbastellus) im Coburger Land (Nordbayern) - Anmerkungen zu einer FFH-relevanten Fledermausart,"Nyctalus (N.F.), Band 11, Heft 1, 33-45",NA,NA,Maria Sporbert,Daniel Petry,Wald,NA,NA,Deutschland,Bayern,Coburger Land,10.93252403,50.21205143,NA,Abundanz,NA,Wirbeltiere,Saeuger,Chiroptera/ Fledermaeuse,1,1991,2005,15,14,Beobachtung,positive,NA,NA,NA,NA,"Anzahl der Quartiere zugenommen, relevant?, Startjahr auf Abb. 3 1997",Literatur,D,NA,NA,NA
184,DBBW2020,NA,DBBW (Dokumentations- und Beratungsstelle des Bundes zum Thema Wolf),2020,Wölfe in Deutschland - Statusbericht 2019/2020,Dokumentations- und Beratungsstelle des Bundes zum Thema Wolf,NA,NA,Maria Sporbert,Maria Sporbert,Wald,NA,NA,Deutschland,NA,NA,10.279,51.415,700,Abundanz,Zeit,Wirbeltiere,Saeuger,Säuger,1,2000,2020,21,20,NA,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
248,Westhus1990,NA,Westhus,1990,Zum Florenwandel und Florenschutz in waldbestockten Naturschutzgebieten Thüringens,Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,NA,NA,Deutschland,Thüringen,"Sömmerda, Arnstadt",11.12024382,51.16195891,10,ENS,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1964,1985,22,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
249,Westhus1990,NA,Westhus,1990,Zum Florenwandel und Florenschutz in waldbestockten Naturschutzgebieten Thüringens,Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,NA,NA,Deutschland,Thüringen,"Sömmerda, Arnstadt",11.12024382,51.16195891,10,ENS,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1964,1985,22,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
