N,Key,Bemerkung_Maria,Autor,Jahr,Titel,Zeitschrift,DOI,Name_pdf,ID_Studie,Screener,Extracter,Lebensraum,Lebensraum_Details,Biotoptyp,Land,Bundesland,Ort,ZUS,Grossregion,X,Y,geographische_Genauigkeit_km,Breitengrad_Laengengrad,Boden,Antwortvariable,Antwortvariable_andere,Antwortvariable_Einheit,x_Achse,Hauptgruppe_RoteListen,Untergruppe_RoteListen,Untergruppe_RoteListen_Detail,Untergruppe_Andere,Artname_deutsch,Artname_wissensch,Anzahl_Arten_Gruppen,Startjahr,Endjahr,Dauer,Anzahl_beprobte_Jahre,Methode,ExperimentObservation,Trend,Trend_Info,Potential_Metaanalyse,Beschreibung_Potential,Direkte Treiber,Haupttreiber_1,Haupttreiber_2,Nebentreiber_1,Nebentreiber_2,Direkter Treiber_Details,Maßnahme_Schutzgebiet,Maßnahme_Schutzgebiet_Andere,Maßnahme_Managementmaßnahme,Maßnahme_Impulsmaßnahmen,Notizen,Notizen_Maria,LiteraturRawdata,Studie_in_D,Untergruppe_RoteListen_ORIG,KIBA_D_change
321,24ED3D2P,Sys,"Reinecke, J. et al.",2014,Vegetation change and homogenization of species composition in temperate nutrient deficient Scots pine forests after 45 yr,Journal of Vegetation Science 25 (2014) 113–121,10.1111/jvs.12069,Reinecke_2014_JVegSci.pdf,,Konrad Adler,Konrad Adler,Wald,Kiefernwälder mit unterschiedlicher Bewirtschaftungsintensität,Nadel(Misch)Wälder und -Forste,Deutschland,Brandenburg,zwei große benachbarte Waldgebiete im Unterspreewald,D08,,1395,5209722222,,"52°03′50″–52°07′05″ N, 13°54′00″–13°59′32″ E",,Artenzahl,,Artenzahl Gefäßpflanzen/Plot,"Zeit, Vegetationstyp",Pflanzen,Moose,Moose,,,,Antwortvariable,1965,2010,45,2,Vegetationsaufnahme,Beobachtung,positive,Zunahme der Moosarten in allen 3 Vegetationstypen,hoch,"Fig.2: enthält Anzahl der Moosarten (SpecBry) für beide Studienjahre und alle 3 Vegetationstypen (oligotroph, mesotroph, eutroph)",Verschmutzung,Verschmutzung,,,,Eutrophierung,,,,,,,Literatur,D,Moose,
322,24ED3D2P,Sys,"Reinecke, J. et al.",2014,Vegetation change and homogenization of species composition in temperate nutrient deficient Scots pine forests after 45 yr,Journal of Vegetation Science 25 (2014) 113–121,10.1111/jvs.12069,Reinecke_2014_JVegSci.pdf,,Konrad Adler,Konrad Adler,Wald,Kiefernwälder mit unterschiedlicher Bewirtschaftungsintensität,Nadel(Misch)Wälder und -Forste,Deutschland,Brandenburg,zwei große benachbarte Waldgebiete im Unterspreewald,D08,,1395,5209722222,,"52°03′50″–52°07′05″ N, 13°54′00″–13°59′32″ E",,Artenzahl,,Artenzahl Gefäßpflanzen/Plot,"Zeit, Vegetationstyp",Pilze_Flechten,Flechten,Flechten,,,,Antwortvariable,1965,2010,45,2,Vegetationsaufnahme,Beobachtung,negative,"Abnahme der Flechtenarten in den Vegetationstypen (ausgenommen: eutrophische Plots, dort kein Trend)",hoch,"Fig.2: enthält Anzahl der Moosarten (SpecBry) für beide Studienjahre und alle 3 Vegetationstypen (oligotroph, mesotroph, eutroph)",Verschmutzung,Verschmutzung,,,,Eutrophierung,,,,,,,Literatur,D,Flechten und flechtenbewohnende Pilze,
323,24ED3D2P,Sys,"Reinecke, J. et al.",2014,Vegetation change and homogenization of species composition in temperate nutrient deficient Scots pine forests after 45 yr,Journal of Vegetation Science 25 (2014) 113–121,10.1111/jvs.12069,Reinecke_2014_JVegSci.pdf,,Konrad Adler,Konrad Adler,Wald,Kiefernwälder mit unterschiedlicher Bewirtschaftungsintensität,Nadel(Misch)Wälder und -Forste,Deutschland,Brandenburg,zwei große benachbarte Waldgebiete im Unterspreewald,D08,,1395,5209722222,,"52°03′50″–52°07′05″ N, 13°54′00″–13°59′32″ E",,ENS,Beta-Diversität,Morisita–Horn index (floristische Besonderheit eines Plots im Vergleich zu allen anderen Plots im selben Jahr/selber Veg.typ),"Zeit, Vegetationstyp",Pilze_Flechten,Flechten,Flechten,,,,Antwortvariable,1965,2010,45,2,Vegetationsaufnahme,Beobachtung,negative,Abnahme der Beta-Diversität in allen 3 Vegetationstypen,hoch,"Fig.2: enthält Beta-Diversität für beide Studienjahre und alle 3 Vegetationstypen (oligotroph, mesotroph, eutroph)",Verschmutzung,Verschmutzung,,,,Eutrophierung,,,,,,,Literatur,D,Flechten und flechtenbewohnende Pilze,
324,Heinrichs2014,non_Sys,"Heinrichs, S. et al.",2014,50 years of constancy and dynamics of calcareous beech forests on dry slopes (Carici-Fagetum) - A comparison of old and recent vegetation releves from the Göttingen forest,Tuexenia 34: 9–38,10.14471/2014.34.008,Heinrichs_2014_Tuexenia.pdf,,Konrad Adler,Konrad Adler,Wald,Carici-Fagetum,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,"Göttinger Wald, ein niedriger Mittelgebirgszug östlich von Göttingen",D36,,9983333333,5155,,"N 51°30‘–36‘, E 9°56‘–10°03‘",,Artenzahl,,Gesamtartenzahl,"Zeit, Waldgesellschaftstypen",Pflanzen,Pflanzen,Pflanzen,,,,Antwortvariable,1955,2012,57,2,Vegetationsaufnahme,Beobachtung,negative,leichte Abnahme der Gesamtartenzahl in Carici-Fagetum,hoch,Tab.4: enthält Gesamtartenzahl für 1955/60 und 2011/12 in den 4 Subassoziationen sowie im Carici-Fagetum insgesamt,"Veränderte Land-/Meeresnutzung, Klimawandel",Veränderte Land-/Meeresnutzung,Klimawandel,,,"Einstellung der forstlichen Nutzung, z. T. bedingt durch Naturschutzmaßnahmen, Reduktion des Schalenwildverbisses und atmosphärischer Nährstoffeintrag",,,,,"Angaben zum Boden: Ausgangsmaterial für die Bodenbildung unter dem Carici-Fagetum ist der Untere Muschelkalk, aus dem sich an den steilen Hängen und Abbruchkanten meist skelettreiche, flachgründige Rendzinen entwickelt haben. Der Seggen-Hangbuchenwald kom",,Literatur,D,Farn- und Blütenpflanzen,
325,Heinrichs2014,non_Sys,"Heinrichs, S. et al.",2014,50 years of constancy and dynamics of calcareous beech forests on dry slopes (Carici-Fagetum) - A comparison of old and recent vegetation releves from the Göttingen forest,Tuexenia 34: 9–38,10.14471/2014.34.008,Heinrichs_2014_Tuexenia.pdf,,Konrad Adler,Konrad Adler,Wald,Carici-Fagetum,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,"Göttinger Wald, ein niedriger Mittelgebirgszug östlich von Göttingen",D36,,9983333333,5155,,"N 51°30‘–36‘, E 9°56‘–10°03‘",,Artenzahl,,Anzahl der Rote-Liste-Arten (Gefäßpflanzen),"Zeit, Waldgesellschaftstypen",Pflanzen,Pflanzen,Pflanzen,,,,Antwortvariable,1955,2012,57,2,Vegetationsaufnahme,Beobachtung,negative,starker Rückgang der Rote-Liste-Arten in Carici-Fagetum und jeweils in den 4 Subassoziationen,hoch,Tab.4: enthält Anzahl der Rote-Liste-Arten der Gefäßpflanzen für 1955/60 und 2011/12 in den 4 Subassoziationen sowie im Carici-Fagetum insgesamt,"Veränderte Land-/Meeresnutzung, Klimawandel",Veränderte Land-/Meeresnutzung,Klimawandel,,,"Einstellung der forstlichen Nutzung, z. T. bedingt durch Naturschutzmaßnahmen, Reduktion des Schalenwildverbisses und atmosphärischer Nährstoffeintrag",,,,,,,Literatur,D,Farn- und Blütenpflanzen,
326,Heinrichs2014,non_Sys,"Heinrichs, S. et al.",2014,50 years of constancy and dynamics of calcareous beech forests on dry slopes (Carici-Fagetum) - A comparison of old and recent vegetation releves from the Göttingen forest,Tuexenia 34: 9–38,10.14471/2014.34.008,Heinrichs_2014_Tuexenia.pdf,,Konrad Adler,Konrad Adler,Wald,Carici-Fagetum,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,"Göttinger Wald, ein niedriger Mittelgebirgszug östlich von Göttingen",D36,,9983333333,5155,,"N 51°30‘–36‘, E 9°56‘–10°03‘",,Artenzahl,,Anzahl der Rote-Liste-Arten (Moose),"Zeit, Waldgesellschaftstypen",Pflanzen,Moose,Moose,,,,Antwortvariable,1955,2012,57,2,Vegetationsaufnahme,Beobachtung,negative,leichter Rückgang der Rote-Liste-Arten in Carici-Fagetum und jeweils in den 4 Subassoziationen,hoch,Tab.4: enthält Anzahl der Rote-Liste-Arten der Moose für 1955/60 und 2011/12 in den 4 Subassoziationen sowie im Carici-Fagetum insgesamt,"Veränderte Land-/Meeresnutzung, Klimawandel",Veränderte Land-/Meeresnutzung,Klimawandel,,,"Einstellung der forstlichen Nutzung, z. T. bedingt durch Naturschutzmaßnahmen, Reduktion des Schalenwildverbisses und atmosphärischer Nährstoffeintrag",,,,,,,Literatur,D,Moose,
327,Heinrichs2014,non_Sys,"Heinrichs, S. et al.",2014,50 years of constancy and dynamics of calcareous beech forests on dry slopes (Carici-Fagetum) - A comparison of old and recent vegetation releves from the Göttingen forest,Tuexenia 34: 9–38,10.14471/2014.34.008,Heinrichs_2014_Tuexenia.pdf,,Konrad Adler,Konrad Adler,Wald,Carici-Fagetum,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,"Göttinger Wald, ein niedriger Mittelgebirgszug östlich von Göttingen",D36,,9983333333,5155,,"N 51°30‘–36‘, E 9°56‘–10°03‘",,Artenzahl,,Anzahl der neophytischen Arten,"Zeit, Waldgesellschaftstypen",Pflanzen,Pflanzen,Pflanzen,Gefäßpflanzen,,,Antwortvariable,1955,2012,57,2,Vegetationsaufnahme,Beobachtung,positive,Anstieg der neophytischen Arten in Carici-Fagetum und jeweils in den 4 Subassoziationen,hoch,Tab.4: enthält Anzahl der neophytischen Gefäßpflanzenarten für 1955/60 und 2011/12 in den 4 Subassoziationen sowie im Carici-Fagetum insgesamt,"Veränderte Land-/Meeresnutzung, Klimawandel",Veränderte Land-/Meeresnutzung,Klimawandel,,,"Einstellung der forstlichen Nutzung, z. T. bedingt durch Naturschutzmaßnahmen, Reduktion des Schalenwildverbisses und atmosphärischer Nährstoffeintrag",,,,,,,Literatur,D,Farn- und Blütenpflanzen,
328,Heinrichs2014,non_Sys,"Heinrichs, S. et al.",2014,50 years of constancy and dynamics of calcareous beech forests on dry slopes (Carici-Fagetum) - A comparison of old and recent vegetation releves from the Göttingen forest,Tuexenia 34: 9–38,10.14471/2014.34.008,Heinrichs_2014_Tuexenia.pdf,,Konrad Adler,Konrad Adler,Wald,Carici-Fagetum,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,"Göttinger Wald, ein niedriger Mittelgebirgszug östlich von Göttingen",D36,,9983333333,5155,,"N 51°30‘–36‘, E 9°56‘–10°03‘",,Artenzahl,,Mittlerer prozentualer Anteil von Charakter- und Differentialarten  an der Artenzahl,"Zeit, Waldgesellschaftstypen",Pflanzen,Pflanzen,Pflanzen,Kräuter/Krautschicht,,,Antwortvariable,1955,2012,57,2,Vegetationsaufnahme,Beobachtung,negative,starker Rückgang der Charakter- und Differentialarten des Carici-Fagetum,hoch,"Abb. 4 oben: enthält den mittleren prozentualen Anteil von Charakter- und Differentialarten an der Artenzahl der Krautschichtt (in den vier Subassoziationen & im Carici-Fagetum insgesamt), Aufnahmezeiträume: 1955/60 und 2011/12.","Veränderte Land-/Meeresnutzung, Klimawandel",Veränderte Land-/Meeresnutzung,Klimawandel,,,"Einstellung der forstlichen Nutzung, z. T. bedingt durch Naturschutzmaßnahmen, Reduktion des Schalenwildverbisses und atmosphärischer Nährstoffeintrag",,,,,,,Literatur,D,Farn- und Blütenpflanzen,
329,8CPPFU8C,Sys,"Brabcová, V. et al.",2022,Fungal Community Development in Decomposing Fine Deadwood Is Largely Affected by Microclimate,Front. Microbiol. 13:835274,10.3389/fmicb.2022.835274,Brabcová_2022_FrontMicrobiol.pdf,,Konrad Adler,Konrad Adler,Wald,"Bergmischwald, bestehend aus Rotbuche, Weißtanne und Fichte",Nadel(Misch)Wälder und -Forste,Deutschland,Bayern,Managementzone des Nationalparks Bayerischer Wald,D63,,46094,489,20,"48.9°N, 13.3°E",,Abundanz,,Pilzbiomasse auf zersetzendem Totholz,Zeit,Pilze_Flechten,Pilze,Pilze,,,,1,2012,2017,5,6,"Bohrkernnahme im Feld, Extraktion von Ergosterol im Labor",Experiment,positive,,gering,Fig.1.: Pilzbiomasse in feinem Buchen- und Tannentotholz während der Zersetzung in einem natürlichen Wald der gemäßigten Zonen,,,,,,"biotische Treiber (Totholzspezies, Zustand der Waldkrone) beeinflussen Biomasse und Diversität der Pilze",Nationalpark_Bayerischer Wald,,,,"verfehlt möglicherweise die Ziele des Projekts, erfüllt allerdings alle Kriterien, weitere Diagramme im Paper zeigen zusätzlich Artzusammensetzungen/Diversität",,Literatur,D,Pilze,
330,Meyer2021b,Sys,"Meyer, P. et al.",2021,Long-term development of species richness in a central European beech (Fagus sylvatica) forest affected by windthrow-Support for the intermediate disturbance hypothesis?,"Ecology and Evolution. 2021,11:12801–12815.",10.1002/ece3.8028,Meyer_2021_EcolEvol.pdf,,Konrad Adler,Konrad Adler,Wald,Windwurfflächen in Buchenwald,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Hessen,"unbewirtschafteter Windwurfbereich des Naturwaldreservates ""Weiherskopf"" in Südhessen",D47,,9446339487,5037238727,10,,,Abundanz,,"Anzahl Jungpflanzen (Setzlinge, kleine Bäume + Sträucher <7cm dbh)",Zeit,Pflanzen,Pflanzen,Pflanzen,,,"Acer pseudoplatanus, Fagus sylvatica, Fraxinus excelsior, Acer platanoides, Prunus avium",5,1990,2013,23,9,Individuen zählen,Beobachtung,positive to negative,"nach Windwurf Anstieg der Verjüngung (Individuenzahlen), ab 1994 wieder Abnahme der Jungpflanzenzahl",hoch,"Fig.2: Entwicklung der Naturverjüngung des Waldbestandes nach Windwurf, enthält Individuenzahlen der Jungpflanzen von 5 Spezies und 2 Gruppen über den Beobachtungszeitraum von 1990 bis 2013",Andere direkte Treiber,Andere direkte Treiber,,,,"Stürme im Jahr 1990 resultieren in einem Sturmholzgebiet, keine Beforstung des Gebietes seit 1989",Andere,Naturwaldreservat Weiherskopf,,,Angabe zum Boden: area of basalt bedrock overlain with loess,,Literatur,D,Farn- und Blütenpflanzen,
331,Meyer2021b,Sys,"Meyer, P. et al.",2021,Long-term development of species richness in a central European beech (Fagus sylvatica) forest affected by windthrow-Support for the intermediate disturbance hypothesis?,"Ecology and Evolution. 2021,11:12801–12815.",10.1002/ece3.8028,Meyer_2021_EcolEvol.pdf,,Konrad Adler,Konrad Adler,Wald,Windwurfflächen in Buchenwald,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Hessen,"unbewirtschafteter Windwurfbereich des Naturwaldreservates ""Weiherskopf"" in Südhessen",D47,,9446339487,5037238727,10,,,Artenzahl,,mittlere Artenzahl je Plot (Alpha-Diversität),Zeit,Wirbellose,Arthropoden,Arthropoden,holzbewohnenden (= xylobionten) Käfer,,,Antwortvariable,1991,2000,9,9,Tree trunk eclectors,Beobachtung,positive to negative,"""hump-back Muster"" beschrieben durch die ""intermediated disturbance hypothesis""",hoch,Fig.3a: Entwicklung der Alpha-Diversität (mittlere Anzahl Arten pro Plot) von xylobionten Käfern seit 1991,Andere direkte Treiber,Andere direkte Treiber,,,,"Stürme im Jahr 1990 resultieren in einem Windwurfgebiet, keine Beforstung des Gebietes seit 1989",Andere,Naturwaldreservat Weiherskopf,,,Angabe zum Boden: area of basalt bedrock overlain with loess,,Literatur,D,Käfer,
332,Meyer2021b,Sys,"Meyer, P. et al.",2021,Long-term development of species richness in a central European beech (Fagus sylvatica) forest affected by windthrow-Support for the intermediate disturbance hypothesis?,"Ecology and Evolution. 2021,11:12801–12815.",10.1002/ece3.8028,Meyer_2021_EcolEvol.pdf,,Konrad Adler,Konrad Adler,Wald,Windwurfflächen in Buchenwald,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Hessen,"unbewirtschafteter Windwurfbereich des Naturwaldreservates ""Weiherskopf"" in Südhessen",D47,,9446339487,5037238727,10,,,Artenzahl,,mittlere Artenzahl je Plot (Alpha-Diversität),Zeit,Pilze_Flechten,Pilze,Pilze,holzzerstörende Pilze (der Buche),,,Antwortvariable,1991,2008,17,16,"Erfassung aller holzzerstörenden Pilzarten (Fruchtkörper) an stehenden, aber gebrochenen Stämmen, Stümpfen, umgefallenen Stämmen, Ästen und holzigen Abfällen der Buche",Beobachtung,positive to negative,"""hump-back Muster"" beschrieben durch die ""intermediated disturbance hypothesis""",hoch,Fig.3b: Entwicklung der Alpha-Diversität (mittlere Anzahl Arten pro Plot) von holzzerstörenden Pilzen seit 1991,Andere direkte Treiber,Andere direkte Treiber,,,,"Stürme im Jahr 1990 resultieren in einem Windwurfgebiet, keine Beforstung des Gebietes seit 1989",Andere,Naturwaldreservat Weiherskopf,,,Angabe zum Boden: area of basalt bedrock overlain with loess,,Literatur,D,Pilze,
333,Meyer2021b,Sys,"Meyer, P. et al.",2021,Long-term development of species richness in a central European beech (Fagus sylvatica) forest affected by windthrow-Support for the intermediate disturbance hypothesis?,"Ecology and Evolution. 2021,11:12801–12815.",10.1002/ece3.8028,Meyer_2021_EcolEvol.pdf,,Konrad Adler,Konrad Adler,Wald,Windwurfflächen in Buchenwald,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Hessen,"unbewirtschafteter Windwurfbereich des Naturwaldreservates ""Weiherskopf"" in Südhessen",D47,,9446339487,5037238727,10,,,Artenzahl,,mittlere Artenzahl je Plot (Alpha-Diversität),Zeit,Pflanzen,Pflanzen,Pflanzen,Kräuter/Krautschicht,,,Antwortvariable,1990,2013,23,9,Vegetationsaufnahme der Bodenvegetation,Beobachtung,positive to negative,"""hump-back Muster"" beschrieben durch die ""intermediated disturbance hypothesis""",hoch,Fig.3c: Entwicklung der Alpha-Diversität (mittlere Anzahl Arten pro Plot) von Kräutern (Bodenvegetation) seit 1990,Andere direkte Treiber,Andere direkte Treiber,,,,"Stürme im Jahr 1990 resultieren in einem Windwurfgebiet, keine Beforstung des Gebietes seit 1989",Andere,Naturwaldreservat Weiherskopf,,,Angabe zum Boden: area of basalt bedrock overlain with loess,,Literatur,D,Farn- und Blütenpflanzen,
335,Meyer2021b,Sys,"Meyer, P. et al.",2021,Long-term development of species richness in a central European beech (Fagus sylvatica) forest affected by windthrow-Support for the intermediate disturbance hypothesis?,"Ecology and Evolution. 2021,11:12801–12815.",10.1002/ece3.8028,Meyer_2021_EcolEvol.pdf,,Konrad Adler,Konrad Adler,Wald,Windwurfflächen in Buchenwald,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Hessen,"unbewirtschafteter Windwurfbereich des Naturwaldreservates ""Weiherskopf"" in Südhessen",D47,,9446339487,5037238727,10,,,Abundanz,,"Beta-Diversität (Arten, die in Jahr x für einen Plot a im paarweisen Vergleich mit Plot b einzigartig sind)",Zeit,Wirbellose,Arthropoden,Arthropoden,holzbewohnenden (= xylobionten) Käfer,,,Antwortvariable,1991,2000,9,9,Tree trunk eclectors,Beobachtung,no,keine nennenswerten Trends der Beta-Diversität,hoch,Fig.3a: Entwicklung der Beta-Diversität (einzigartige Arten pro Plot im paarweisen Vergleich) von xylobionten Käfern seit 1991,Andere direkte Treiber,Andere direkte Treiber,,,,"Stürme im Jahr 1990 resultieren in einem Windwurfgebiet, keine Beforstung des Gebietes seit 1989",Andere,Naturwaldreservat Weiherskopf,,,Angabe zum Boden: area of basalt bedrock overlain with loess,,Literatur,D,Käfer,corrected
336,Meyer2021b,Sys,"Meyer, P. et al.",2021,Long-term development of species richness in a central European beech (Fagus sylvatica) forest affected by windthrow-Support for the intermediate disturbance hypothesis?,"Ecology and Evolution. 2021,11:12801–12815.",10.1002/ece3.8028,Meyer_2021_EcolEvol.pdf,,Konrad Adler,Konrad Adler,Wald,Windwurfflächen in Buchenwald,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Hessen,"unbewirtschafteter Windwurfbereich des Naturwaldreservates ""Weiherskopf"" in Südhessen",D47,,9446339487,5037238727,10,,,Abundanz,,"Beta-Diversität (Arten, die in Jahr x für einen Plot a im paarweisen Vergleich mit Plot b einzigartig sind)",Zeit,Pilze_Flechten,Pilze,Pilze,holzzerstörende Pilze (der Buche),,,Antwortvariable,1991,2008,17,16,"Erfassung aller holzzerstörenden Pilzarten (Fruchtkörper) an stehenden, aber gebrochenen Stämmen, Stümpfen, umgefallenen Stämmen, Ästen und holzigen Abfällen der Buche",Beobachtung,no,keine nennenswerten Trends der Beta-Diversität,hoch,Fig.3b: Entwicklung der Beta-Diversität (einzigartige Arten pro Plot im paarweisen Vergleich) von holzzerstörenden Pilzen seit 1991,Andere direkte Treiber,Andere direkte Treiber,,,,"Stürme im Jahr 1990 resultieren in einem Windwurfgebiet, keine Beforstung des Gebietes seit 1989",Andere,Naturwaldreservat Weiherskopf,,,Angabe zum Boden: area of basalt bedrock overlain with loess,,Literatur,D,Pilze,corrected
337,Meyer2021b,Sys,"Meyer, P. et al.",2021,Long-term development of species richness in a central European beech (Fagus sylvatica) forest affected by windthrow-Support for the intermediate disturbance hypothesis?,"Ecology and Evolution. 2021,11:12801–12815.",10.1002/ece3.8028,Meyer_2021_EcolEvol.pdf,,Konrad Adler,Konrad Adler,Wald,Windwurfflächen in Buchenwald,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Hessen,"unbewirtschafteter Windwurfbereich des Naturwaldreservates ""Weiherskopf"" in Südhessen",D47,,9446339487,5037238727,10,,,Abundanz,,"Beta-Diversität (Arten, die in Jahr x für einen Plot a im paarweisen Vergleich mit Plot b einzigartig sind)",Zeit,Pflanzen,Pflanzen,Pflanzen,Kräuter/Krautschicht,,,Antwortvariable,1990,2013,23,9,Vegetationsaufnahme der Bodenvegetation,Beobachtung,no,keine nennenswerten Trends der Beta-Diversität,hoch,Fig.3c: Entwicklung der Beta-Diversität (einzigartige Arten pro Plot im paarweisen Vergleich) von Kräutern seit 1990,Andere direkte Treiber,Andere direkte Treiber,,,,"Stürme im Jahr 1990 resultieren in einem Windwurfgebiet, keine Beforstung des Gebietes seit 1989",Andere,Naturwaldreservat Weiherskopf,,,Angabe zum Boden: area of basalt bedrock overlain with loess,,Literatur,D,Farn- und Blütenpflanzen,corrected
338,Meyer2021b,Sys,"Meyer, P. et al.",2021,Long-term development of species richness in a central European beech (Fagus sylvatica) forest affected by windthrow-Support for the intermediate disturbance hypothesis?,"Ecology and Evolution. 2021,11:12801–12815.",10.1002/ece3.8028,Meyer_2021_EcolEvol.pdf,,Konrad Adler,Konrad Adler,Wald,Windwurfflächen in Buchenwald,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Hessen,"unbewirtschafteter Windwurfbereich des Naturwaldreservates ""Weiherskopf"" in Südhessen",D47,,9446339487,5037238727,10,,,Abundanz,,"Beta-Diversität (Arten, die in Jahr x für einen Plot a im paarweisen Vergleich mit Plot b einzigartig sind)",Zeit,Pflanzen,Pflanzen,Pflanzen,Bäume/Baumschicht,,,Antwortvariable,1990,2013,23,9,Vegetationsaufnahme der  Baumschicht (Bäume und große Sträucher),Beobachtung,no,keine nennenswerten Trends der Beta-Diversität,hoch,Fig.3d: Entwicklung der Beta-Diversität (einzigartige Arten pro Plot im paarweisen Vergleich) der Baumschicht seit 1990,Andere direkte Treiber,Andere direkte Treiber,,,,"Stürme im Jahr 1990 resultieren in einem Windwurfgebiet, keine Beforstung des Gebietes seit 1989",Andere,Naturwaldreservat Weiherskopf,,,Angabe zum Boden: area of basalt bedrock overlain with loess,,Literatur,D,Farn- und Blütenpflanzen,corrected
339,Meyer2021b,Sys,"Meyer, P. et al.",2021,Long-term development of species richness in a central European beech (Fagus sylvatica) forest affected by windthrow-Support for the intermediate disturbance hypothesis?,"Ecology and Evolution. 2021,11:12801–12815.",10.1002/ece3.8028,Meyer_2021_EcolEvol.pdf,,Konrad Adler,Konrad Adler,Wald,Windwurfflächen in Buchenwald,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Hessen,"unbewirtschafteter Windwurfbereich des Naturwaldreservates ""Weiherskopf"" in Südhessen",D47,,9446339487,5037238727,10,,,Artenzahl,,Gesamtartenzahl (Gamma-Diversität),Zeit,Wirbellose,Arthropoden,Arthropoden,holzbewohnenden (= xylobionten) Käfer,,,Antwortvariable,1991,2000,9,9,Tree trunk eclectors,Beobachtung,positive to negative,"""hump-back Muster"" beschrieben durch die ""intermediated disturbance hypothesis""",hoch,Fig.3a: Entwicklung der Gamma-Diversität (Gesamtartenzahl pro Jahr) von xylobionten Käfern seit 1991,Andere direkte Treiber,Andere direkte Treiber,,,,"Stürme im Jahr 1990 resultieren in einem Windwurfgebiet, keine Beforstung des Gebietes seit 1989",Andere,Naturwaldreservat Weiherskopf,,,Angabe zum Boden: area of basalt bedrock overlain with loess,,Literatur,D,Käfer,
340,Meyer2021b,Sys,"Meyer, P. et al.",2021,Long-term development of species richness in a central European beech (Fagus sylvatica) forest affected by windthrow-Support for the intermediate disturbance hypothesis?,"Ecology and Evolution. 2021,11:12801–12815.",10.1002/ece3.8028,Meyer_2021_EcolEvol.pdf,,Konrad Adler,Konrad Adler,Wald,Windwurfflächen in Buchenwald,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Hessen,"unbewirtschafteter Windwurfbereich des Naturwaldreservates ""Weiherskopf"" in Südhessen",D47,,9446339487,5037238727,10,,,Artenzahl,,Gesamtartenzahl (Gamma-Diversität),Zeit,Pilze_Flechten,Pilze,Pilze,holzzerstörende Pilze (der Buche),,,Antwortvariable,1991,2008,17,16,"Erfassung aller holzzerstörenden Pilzarten (Fruchtkörper) an stehenden, aber gebrochenen Stämmen, Stümpfen, umgefallenen Stämmen, Ästen und holzigen Abfällen der Buche",Beobachtung,positive to negative,"""hump-back Muster"" beschrieben durch die ""intermediated disturbance hypothesis""",hoch,Fig.3b: Entwicklung der Gamma-Diversität (Gesamtartenzahl pro Jahr) von holzzerstörenden Pilzen seit 1991,Andere direkte Treiber,Andere direkte Treiber,,,,"Stürme im Jahr 1990 resultieren in einem Windwurfgebiet, keine Beforstung des Gebietes seit 1989",Andere,Naturwaldreservat Weiherskopf,,,Angabe zum Boden: area of basalt bedrock overlain with loess,,Literatur,D,Pilze,
